53 959
43 38 96
38 13 70
13 8 15
8 42 71
42 32 86
32 1 92
1 46 30
46 7 70
7 4 34
4 17 65
17 28 85
28 49 19
49 25 37
25 10 48
10 33 36
33 31 2
31 0 59
0 20 78
20 37 22
37 51 47
51 44 -4
44 2 42
2 26 80
26 48 55
48 18 -1
18 23 78
23 29 79
29 5 93
5 40 38
40 14 3
14 30 1
30 36 5
36 47 40
47 52 18
52 3 62
3 24 22
24 50 8
50 15 62
15 27 67
27 34 76
34 39 44
39 19 35
19 21 -5
21 12 11
12 9 -4
9 35 80
35 6 -5
6 16 -5
16 45 1
45 22 58
22 11 9
11 41 35
37 50 6
25 48 44
12 38 48
46 5 55
27 18 94
51 22 42
41 33 14
34 25 68
35 43 26
32 35 48
3 44 83
30 7 99
26 37 62
51 48 74
22 45 74
26 31 2
25 13 74
15 47 44
37 40 76
17 38 12
45 14 30
32 19 24
7 42 29
14 45 52
8 12 52
34 25 89
33 35 35
4 2 63
3 0 49
5 17 92
40 46 88
37 27 47
45 11 8
28 10 36
19 17 8
18 40 34
19 14 38
0 29 54
6 13 83
25 38 9
19 37 32
50 8 87
29 10 14
41 8 58
35 30 79
15 18 7
47 40 77
41 39 54
1 2 43
16 2 30
2 14 93
32 30 42
3 32 10
10 11 37
51 49 45
52 4 10
50 21 23
52 39 81
18 27 96
42 27 44
1 35 94
16 47 53
28 38 -3
35 17 23
19 11 -4
43 4 92
40 37 19
8 52 56
44 42 15
39 34 86
38 14 5
40 45 43
11 2 61
16 22 12
29 15 43
27 18 54
49 7 51
26 49 8
51 7 50
17 10 2
0 27 -5
21 8 21
26 48 15
26 15 49
40 49 34
42 6 -2
9 37 26
8 40 0
42 48 56
24 17 82
46 18 44
25 20 65
1 5 16
35 49 100
48 6 54
4 22 47
43 17 69
47 34 41
12 15 26
18 9 38
4 52 97
28 24 7
48 8 55
42 21 -2
10 40 51
52 44 78
25 41 76
19 7 18
26 13 42
29 14 35
4 5 78
40 8 70
42 28 73
13 6 62
1 2 6
45 50 84
14 37 14
7 18 94
23 12 -4
13 52 -4
46 15 55
18 40 1
6 24 61
38 30 64
46 12 60
18 44 95
22 51 48
27 30 81
31 5 78
43 30 21
31 43 16
45 16 86
6 10 -5
25 41 9
24 11 34
3 21 99
46 22 74
27 21 58
10 39 54
36 51 98
43 10 51
17 8 -4
13 31 94
45 5 49
12 48 35
16 22 30
24 37 85
27 25 13
43 12 56
19 25 65
40 52 94
8 6 48
32 50 76
39 28 3
35 52 92
32 6 90
1 47 56
48 32 29
41 24 68
19 21 14
16 19 25
39 35 47
15 44 14
34 25 92
45 22 53
26 49 13
31 29 7
2 40 73
0 46 89
13 52 72
41 36 97
38 20 44
33 42 44
45 48 20
29 27 38
36 7 49
39 50 58
33 50 19
50 29 72
30 17 -4
25 9 0
13 41 58
38 49 42
30 23 13
33 21 58
26 50 32
15 40 95
34 31 100
45 49 28
33 8 11
50 1 11
22 17 39
20 20 7
2 21 30
16 38 87
23 41 88
41 12 95
40 8 75
38 14 82
38 45 44
21 34 2
18 5 22
51 39 45
28 2 7
45 13 26
17 9 64
20 18 27
11 20 -2
22 48 42
26 51 64
38 39 83
4 1 -1
27 16 0
0 30 74
23 45 57
32 22 53
33 13 -4
3 37 93
26 40 83
33 8 42
3 21 67
34 13 17
1 48 46
30 19 51
48 23 85
24 31 84
12 1 37
20 22 90
33 43 76
14 44 75
39 42 42
52 41 -4
46 4 96
13 8 94
26 39 68
7 43 47
28 8 51
32 24 17
52 47 4
40 32 87
22 15 78
1 7 18
28 13 29
3 11 92
39 37 8
41 47 33
47 16 48
22 38 42
15 49 64
18 47 -5
23 34 94
14 13 74
15 35 45
15 3 88
