91 539
55 40 -33
40 34 10
34 63 -69
63 85 -62
85 32 -28
32 17 -85
17 21 -41
21 68 -91
68 20 61
20 39 -84
39 30 11
30 7 92
7 27 -19
27 82 8
82 11 -5
11 36 16
36 46 -25
46 67 97
67 77 -98
77 88 91
88 15 78
15 22 -61
22 6 -100
6 1 -56
1 56 -4
56 37 -28
37 79 -70
79 47 -33
47 43 -76
43 13 16
13 29 44
29 65 -56
65 31 -56
31 28 38
28 61 -3
61 71 -89
71 19 93
19 57 -86
57 84 45
84 12 -43
12 64 -84
64 66 -3
66 14 -87
14 10 53
10 60 -59
60 80 18
80 5 -19
5 9 81
9 24 -74
24 62 -85
62 87 32
87 74 -29
74 44 -35
44 73 -51
73 53 10
53 51 1
51 83 -4
83 23 91
23 78 -78
78 75 70
75 41 66
41 89 32
89 18 -77
18 72 -4
72 86 -71
86 49 -31
49 54 -53
54 26 24
26 2 28
2 58 -13
58 42 -65
42 52 -59
52 70 -49
70 59 -42
59 76 -79
76 8 85
8 35 -71
35 90 -60
90 81 -17
81 33 28
33 25 66
25 0 74
0 3 2
3 45 -88
45 38 -16
38 16 71
16 4 63
4 48 -60
48 69 11
69 50 -47
88 28 100
75 57 -63
12 88 -81
78 6 19
55 23 85
63 50 -62
63 7 65
34 62 -63
70 48 53
36 88 -85
31 65 40
10 10 -22
56 38 80
12 39 -89
84 81 86
14 49 25
84 24 -5
72 39 71
53 65 -69
32 64 0
82 41 61
68 47 -39
45 4 -79
66 35 -73
78 63 -38
38 41 21
31 2 -91
41 57 -29
87 11 -29
8 84 54
1 70 -41
52 53 -1
24 25 -85
24 52 80
43 88 33
67 2 54
31 43 -61
4 83 49
61 59 4
47 25 57
27 40 3
67 78 -96
48 24 71
60 22 -41
47 81 -33
34 62 -63
56 28 -15
11 81 -19
32 76 -75
9 84 94
72 5 -57
12 14 58
69 36 -66
63 33 8
70 12 -59
36 1 81
84 77 -57
26 49 -19
20 31 51
75 66 18
1 32 52
84 49 68
4 37 64
13 83 21
32 15 -17
75 4 -6
77 31 55
10 76 46
46 32 -4
32 30 -49
48 3 31
25 87 -19
78 28 10
34 29 7
62 8 -62
2 74 79
4 42 -88
87 13 69
33 48 11
63 41 -82
20 66 67
29 51 37
73 51 -39
77 79 2
34 74 -75
53 75 -87
7 59 -56
5 83 40
44 56 17
82 32 -56
36 90 72
81 80 -45
25 9 58
17 72 -86
38 70 98
29 15 66
25 47 -86
21 15 84
8 66 -16
56 69 -82
29 2 -98
77 56 -99
78 34 79
77 38 23
26 6 96
3 38 -42
70 14 -24
25 33 -33
13 41 -80
